ident,SBBE,SBBR,SBBV,SBCF,SBCT,SBCY,SBEG,SBFI,SBFL,SBFZ,SBGL,SBGO,SBGR,SBJP,SBKP,SBMO,SBNF,SBPA,SBPS,SBPV,SBRB,SBRF,SBRJ,SBSG,SBSL,SBSP,SBSV,SBVT,SBMQ,SBCG,SBTE,SBAR,SBPJ
SBBE,0.0,1612.3541140896882,1436.7617085198165,2088.486276505449,2686.3215826253854,1794.7438721419946,1299.080743560918,2768.627131370717,2923.4411450333537,1136.2120804887682,2448.908397249187,1697.9847249532731,2461.597103579612,1630.6556332444995,2409.298183279515,1669.0858176501235,2835.5528385983357,3194.4952781554043,1965.3561515121198,1891.958513725825,2345.0434409963264,1678.072568483798,2461.9296178233753,1534.2607973353927,490.0495378441451,2481.686986888958,1701.1958236237438,2280.1295430617065,329.53287911284076,2226.9715174603184,749.1306896010877,1651.0161926452467,991.082678207382
SBBR,1612.3541140896882,0.0,2510.4834714012063,592.155615209429,1081.9471059278785,877.3498855616907,1948.6126320020835,1278.4080664770308,1313.8373452017015,1691.763034391489,913.972288762494,162.63446997881834,854.4581187409128,1712.5457601033074,798.0002944826346,1492.7820295391148,1226.608909661508,1605.1456880339113,946.2242364847214,1908.7960142270495,2263.972903521587,1654.0349720958322,928.2380089059031,1770.735988427079,1531.1205796521401,872.803051150787,1084.7544667003135,943.0003652910063,1803.6843600650466,877.6965696521813,1324.4519247257397,1292.4575300310996,622.0040349146099
SBBV,1436.7617085198165,2510.4834714012063,0.0,3096.248146346046,3390.3181532060394,2117.6426308071473,658.2227471142057,3232.22748294891,3633.749236368523,2570.1839433341675,3423.2295470432123,2505.591731831656,3303.166145383733,3065.049985878283,3228.856425969707,3081.788087699563,3549.0194923912186,3789.413694508256,3199.0940124235576,1333.2402967565313,1623.4260098157333,3107.3284278176675,3437.5428259116293,2971.0174141601065,1926.263274396838,3312.936803218234,3027.7653960305893,3399.4020621104582,1113.348930427563,2674.392370661691,2170.7561036589595,3031.928447164143,1999.6566255370162
SBCF,2088.486276505449,592.155615209429,3096.248146346046,0.0,845.5434269790933,1360.9515087673938,2540.7643975318333,1266.2837539395184,1007.8355722033774,1859.488080610747,360.6885059123398,647.8137022343951,495.0912405823025,1695.4753987195934,498.16631833470467,1427.7884253516709,936.6226741695137,1360.9852832571908,627.0580806237955,2464.9703220813567,2788.0570853545732,1608.3304819617101,373.5365046573306,1800.70393407882,1896.0247284524212,523.6061565959527,960.1992689657546,391.0123726753954,2321.952078784233,1122.0318327983784,1625.4404701254962,1212.7959156669742,1140.7825123987272
SBCT,2686.3215826253854,1081.9471059278785,3390.3181532060394,845.5434269790933,0.0,1313.7475811302236,2757.789248032496,533.0352621195857,246.08471775711288,2672.510812932013,672.7085942540805,989.2579677970488,359.652183493421,2540.6699043075787,348.41464815192853,2273.2688532922703,159.08003073349167,533.7800017862877,1454.8100905006854,2433.784871215077,2632.1701481238706,2453.866868712327,675.5741412128167,2643.0438705736196,2605.252676345669,331.14953440223115,1805.6014911329055,1082.477661447909,2851.5613654983295,795.4521880906076,2374.470349790141,2058.3338451325385,1696.4758005147066
SBCY,1794.7438721419946,877.3498855616907,2117.6426308071473,1360.9515087673938,1313.7475811302236,0.0,1467.2480321917706,1118.2704855528962,1547.0159170631457,2333.066035451623,1566.5165284186103,744.5263514090977,1329.4828115714067,2490.716559973382,1247.0580633425816,2307.3084545887828,1467.6276001794809,1672.7642695006548,1822.0926766692457,1145.1342533678649,1429.356602907802,2450.8995269545244,1579.727622837023,2516.214104371157,1950.532933935084,1328.842237843517,1940.9306533646711,1750.1514808786599,1831.9007616476476,556.9120426307591,1869.3847899992418,2123.8807850275634,1030.404704905809
SBEG,1299.080743560918,1948.6126320020835,658.2227471142057,2540.7643975318333,2757.789248032496,1467.2480321917706,0.0,2577.538662100141,2998.7064736975058,2389.7480005177376,2847.5690456217576,1919.629981631104,2697.2562199336385,2816.4170054187475,2620.0145648683274,2774.4806804931372,2915.5484313933607,3139.9475430479783,2733.7101188895235,760.8741560760699,1152.004782609018,2836.5704784314808,2861.8819106417973,2752.9448511453575,1757.0995192946452,2704.5970989054044,2629.1934662617955,2873.6528629130294,1055.2681495248148,2023.9626925670636,1923.7059938285993,2683.045878945251,1521.7401864900366
SBFI,2768.627131370717,1278.4080664770308,3232.22748294891,1266.2837539395184,533.0352621195857,1118.2704855528962,2577.538662100141,0.0,633.5632061655198,2964.37961961022,1180.6882326273142,1136.1758893789267,846.0658811643814,2915.681168285519,798.7684707280096,2662.7322728232552,599.5360974039129,588.2426186586765,1893.3366657880083,2125.1128255968206,2248.4618376968897,2839.1838879264606,1185.9849832066066,2999.2429875614393,2783.5993933340105,821.519277598798,2202.6905821490755,1569.7815995178216,2875.0948012003882,570.0949273924697,2599.5019216704754,2448.1591717696015,1820.1369109909044
SBFL,2923.4411450333537,1313.8373452017015,3633.749236368523,1007.8355722033774,246.08471775711288,1547.0159170631457,2998.7064736975058,633.5632061655198,0.0,2861.585830806827,759.0288725656717,1229.3210187538612,515.5492856489351,2694.4351067578764,537.6982163992811,2421.5958855145736,88.4753421938066,362.80732620348914,1583.617254391545,2653.581263025615,2831.1333638152014,2602.8005843594647,757.2509297787938,2805.4830540975354,2826.7005849799357,488.09223613585516,1955.3459953101717,1176.117201080469,3094.139562095098,1013.111760960015,2586.1618973287004,2208.833864623272,1932.5429249183917
SBFZ,1136.2120804887682,1691.763034391489,2570.1839433341675,1859.488080610747,2672.510812932013,2333.066035451623,2389.7480005177376,2964.37961961022,2861.585830806827,0.0,2176.5779270653647,1845.3655239988311,2346.095934337453,545.700177987246,2330.0719545585034,706.0031928796889,2785.217986438674,3203.966326590431,1409.2913821059894,2856.2871321137927,3309.7402202516278,627.2132865539953,2185.231333340166,414.9628655451667,646.7993970587736,2373.4976197290475,1015.781483355299,1842.5457818900309,1456.900592125042,2549.4332901890275,496.7383664789536,817.4802173165338,1303.5081726349813
